AccountNumber,Age,Income,Loan Amount,Credit Score,EmployeementYear,ExistingLoans,Default,Payment History
1200031000,56,33137.371,69885,545,22,2,1,109803
1200031001,69,12189.097,85978,475,16,1,0,175888
1200031002,46,69276.207,33270,338,25,1,0,137134
1200031003,32,65283.413,22804,776,7,2,0,124328
1200031004,60,51088.344,71404,837,28,5,1,195815
1200031005,25,11971.175,81141,707,25,2,0,36083
1200031006,38,37837.937,35518,824,9,4,0,121206
1200031007,56,109587.873,10521,805,25,4,0,35503
1200031008,36,120624.576,94112,335,33,1,0,117028
1200031009,40,94834.396,40360,319,6,3,0,197879
1200031010,28,139682.123,52257,620,3,5,0,90184
1200031011,28,101150.784,83933,811,10,1,0,187909
1200031012,41,138094.355,67893,699,28,3,1,38695
1200031013,53,129005.401,73786,770,35,3,1,140736
1200031014,57,72923.094,21698,442,24,4,0,49116
1200031015,41,23357.416,54603,391,20,0,0,95708
1200031016,20,61914.555,69883,653,35,0,0,182746
1200031017,39,103637.775,23626,350,9,2,0,35423
1200031018,19,103229.13,18321,489,36,4,0,160642
1200031019,41,92781.69,98235,424,8,3,0,125854
1200031020,61,48461.051,52147,449,23,5,0,161977
1200031021,47,88574.08,26822,613,34,0,0,143934
1200031022,55,63609.762,99629,641,34,3,1,79779
1200031023,19,146039.693,96577,604,35,0,0,183182
1200031024,38,128847.935,56271,353,17,0,1,159454
1200031025,50,111042.133,88381,743,38,0,0,64863
1200031026,29,43037.889,19682,563,31,5,0,75396
1200031027,39,45849.565,28608,352,23,4,1,121824
1200031028,61,15660.703,70335,304,22,5,0,78500
1200031029,42,109492.805,84819,402,31,1,0,47165
1200031030,66,25524.715,85776,495,36,3,1,81727
1200031031,44,71507.11,41046,649,11,4,1,65926
1200031032,59,38240.688,88889,346,12,4,0,168830
1200031033,45,135406.903,85242,568,22,4,0,159160
1200031034,33,76551.831,93628,669,24,4,0,183818
1200031035,32,88858.58,78749,405,34,5,1,180075
1200031036,64,107372.252,67230,419,29,4,0,179693
1200031037,68,29506.404,58488,357,16,2,0,166680
1200031038,61,94618.433,37856,645,19,3,0,117718
1200031039,69,85577.753,94073,773,24,4,0,93153
1200031040,20,38428.571,97393,416,21,3,1,81599
1200031041,54,141999.5,29108,426,12,2,1,180842
1200031042,68,93841.165,31231,692,18,2,1,185519
1200031043,24,107269.891,49076,357,35,3,0,161253
1200031044,38,133265.497,45394,812,11,0,0,105464
1200031045,26,97409.567,99451,395,18,1,0,35589
1200031046,56,51388.716,18417,417,11,0,0,177548
1200031047,35,24769.196,2789,787,8,0,0,173985
1200031048,21,73914.84,49895,536,6,5,1,51237
1200031049,42,40581.661,18703,571,27,0,0,126054
1200031050,31,68311.393,37280,488,13,4,0,175945
1200031051,67,133659.236,74673,746,30,5,1,47666
1200031052,26,55408.303,72373,546,18,5,1,171532
1200031053,43,27092.314,31498,375,15,2,0,111933
1200031054,19,59881.697,54711,453,4,0,0,94851
1200031055,37,136955.982,51373,734,34,2,0,57505
1200031056,45,48098.515,63997,385,11,3,0,117148
1200031057,64,100676.617,25796,584,24,1,0,163130
1200031058,24,10072.853,59397,519,20,5,0,43301
1200031059,61,59359.64,97910,368,35,3,0,133383
1200031060,25,52669.376,49187,346,22,3,0,88375
1200031061,64,33051.819,90704,393,15,4,1,126015
1200031062,52,84772.519,44005,752,38,1,0,115791
1200031063,31,77876.196,35658,503,38,3,0,126034
1200031064,34,106941.045,64865,517,13,3,1,164437
1200031065,53,47717.727,67223,773,30,1,0,45221
1200031066,67,44177.573,86553,731,4,1,0,32774
1200031067,57,33560.746,23788,640,34,3,0,116725
1200031068,21,40626.991,50420,850,22,1,0,90641
1200031069,19,88134.28,57628,588,28,3,0,80026
1200031070,23,66537.064,77087,553,10,3,1,86101
1200031071,59,19084.915,5317,656,17,4,1,139897
1200031072,21,45548.158,99461,322,11,0,1,180812
1200031073,46,44562.649,47525,821,8,3,1,81944
1200031074,35,107482.598,28676,399,9,2,1,108321
1200031075,43,109717.883,88466,479,16,5,1,129592
1200031076,61,30732.17,75024,522,37,0,0,47044
1200031077,51,149683.668,95354,741,6,0,1,106610
1200031078,27,47349.342,33744,624,12,0,0,50427
1200031079,53,146726.094,55724,815,39,4,0,152239
1200031080,31,67545.182,57657,315,8,3,0,187996
1200031081,48,14627.103,98053,635,26,4,0,94712
1200031082,65,58309.975,8459,557,1,3,1,41574
1200031083,32,98809.188,31264,796,4,4,1,80171
1200031084,25,105298.763,19900,459,28,4,1,124785
1200031085,31,84330.842,27579,774,36,5,1,100506
1200031086,40,72689.643,49043,679,37,2,0,199562
1200031087,57,87405.032,37896,844,18,4,1,36279
1200031088,38,92977.541,40074,726,7,5,1,99617
1200031089,33,21319.466,84577,567,0,1,1,155160
1200031090,62,61751.624,93072,716,21,2,0,164739
1200031091,35,43902.391,7971,467,16,4,1,144590
1200031092,64,122439.566,21683,342,6,0,0,140046
1200031093,41,75842.089,67443,584,24,1,0,61459
1200031094,43,147679.24,36506,696,3,1,0,49853
1200031095,42,65835.422,26162,311,35,5,1,125920
1200031096,62,124300.462,30234,601,5,1,0,83673
1200031097,58,121768.317,32933,552,30,2,0,171158
1200031098,46,31100.456,85018,798,18,4,1,64245
1200031099,32,81147.829,14526,334,38,4,0,98345
