AccountNumber,Age,Income,Loan Amount,Credit Score,EmployeementYear,ExistingLoans,Default
1000000000,56,33137.371,69885.0,545,22,2,1
1000000001,69,12189.097,85978.0,475,16,1,0
1000000002,46,69276.207,33270.0,338,25,1,0
1000000003,32,65283.413,22804.0,776,7,2,0
1000000004,60,51088.344,71404.0,837,28,5,1
1000000005,25,11971.175,81141.0,707,25,2,0
1000000006,38,37837.937,35518.0,824,9,4,0
1000000007,56,109587.873,10521.0,805,25,4,0
1000000008,36,120624.576,94112.0,335,33,1,0
1000000009,40,94834.396,40360.0,319,6,3,0
1000000010,28,139682.123,52257.0,620,3,5,0
1000000011,28,101150.784,83933.0,811,10,1,0
1000000012,41,138094.355,67893.0,699,28,3,1
1000000013,53,129005.401,73786.0,770,35,3,1
1000000014,57,72923.094,21698.0,442,24,4,0
1000000015,41,23357.416,54603.0,391,20,0,0
1000000016,20,61914.555,69883.0,653,35,0,0
1000000017,39,103637.775,23626.0,350,9,2,0
1000000018,19,103229.13,18321.0,489,36,4,0
1000000019,41,92781.69,98235.0,424,8,3,0
1000000020,61,48461.051,52147.0,449,23,5,0
1000000021,47,88574.08,26822.0,613,34,0,0
1000000022,55,63609.762,99629.0,641,34,3,1
1000000023,19,146039.693,96577.0,604,35,0,0
1000000024,38,128847.935,56271.0,353,17,0,1
1000000025,50,111042.133,88381.0,743,38,0,0
1000000026,29,43037.889,19682.0,563,31,5,0
1000000027,39,45849.565,28608.0,352,23,4,1
1000000028,61,15660.703,70335.0,304,22,5,0
1000000029,42,109492.805,84819.0,402,31,1,0
1000000030,66,25524.715,85776.0,495,36,3,1
1000000031,44,71507.11,41046.0,649,11,4,1
1000000032,59,38240.688,88889.0,346,12,4,0
1000000033,45,135406.903,85242.0,568,22,4,0
1000000034,33,76551.831,93628.0,669,24,4,0
1000000035,32,88858.58,78749.0,405,34,5,1
1000000036,64,107372.252,67230.0,419,29,4,0
1000000037,68,29506.404,58488.0,357,16,2,0
1000000038,61,94618.433,37856.0,645,19,3,0
1000000039,69,85577.753,94073.0,773,24,4,0
1000000040,20,38428.571,97393.0,416,21,3,1
1000000041,54,141999.5,29108.0,426,12,2,1
1000000042,68,93841.165,31231.0,692,18,2,1
1000000043,24,107269.891,49076.0,357,35,3,0
1000000044,38,133265.497,45394.0,812,11,0,0
1000000045,26,97409.567,99451.0,395,18,1,0
1000000046,56,51388.716,18417.0,417,11,0,0
1000000047,35,24769.196,2789.0,787,8,0,0
1000000048,21,73914.84,49895.0,536,6,5,1
1000000049,42,40581.661,18703.0,571,27,0,0
1000000050,31,68311.393,37280.0,488,13,4,0
1000000051,67,133659.236,74673.0,746,30,5,1
1000000052,26,55408.303,72373.0,546,18,5,1
1000000053,43,27092.314,31498.0,375,15,2,0
1000000054,19,59881.697,54711.0,453,4,0,0
1000000055,37,136955.982,51373.0,734,34,2,0
1000000056,45,48098.515,63997.0,385,11,3,0
1000000057,64,100676.617,25796.0,584,24,1,0
1000000058,24,10072.853,59397.0,519,20,5,0
1000000059,61,59359.64,97910.0,368,35,3,0
1000000060,25,52669.376,49187.0,346,22,3,0
1000000061,64,33051.819,90704.0,393,15,4,1
1000000062,52,84772.519,44005.0,752,38,1,0
1000000063,31,77876.196,35658.0,503,38,3,0
1000000064,34,106941.045,64865.0,517,13,3,1
1000000065,53,47717.727,67223.0,773,30,1,0
1000000066,67,44177.573,86553.0,731,4,1,0
1000000067,57,33560.746,23788.0,640,34,3,0
1000000068,21,40626.991,50420.0,850,22,1,0
1000000069,19,88134.28,57628.0,588,28,3,0
1000000070,23,66537.064,77087.0,553,10,3,1
1000000071,59,19084.915,5317.0,656,17,4,1
1000000072,21,45548.158,99461.0,322,11,0,1
1000000073,46,44562.649,47525.0,821,8,3,1
1000000074,35,107482.598,28676.0,399,9,2,1
1000000075,43,109717.883,88466.0,479,16,5,1
1000000076,61,30732.17,75024.0,522,37,0,0
1000000077,51,149683.668,95354.0,741,6,0,1
1000000078,27,47349.342,33744.0,624,12,0,0
1000000079,53,146726.094,55724.0,815,39,4,0
1000000080,31,67545.182,57657.0,315,8,3,0
1000000081,48,14627.103,98053.0,635,26,4,0
1000000082,65,58309.975,8459.0,557,1,3,1
1000000083,32,98809.188,31264.0,796,4,4,1
1000000084,25,105298.763,19900.0,459,28,4,1
1000000085,31,84330.842,27579.0,774,36,5,1
1000000086,40,72689.643,49043.0,679,37,2,0
1000000087,57,87405.032,37896.0,844,18,4,1
1000000088,38,92977.541,40074.0,726,7,5,1
1000000089,33,21319.466,84577.0,567,0,1,1
1000000090,62,61751.624,93072.0,716,21,2,0
1000000091,35,43902.391,7971.0,467,16,4,1
1000000092,64,122439.566,21683.0,342,6,0,0
1000000093,41,75842.089,67443.0,584,24,1,0
1000000094,43,147679.24,36506.0,696,3,1,0
1000000095,42,65835.422,26162.0,311,35,5,1
1000000096,62,124300.462,30234.0,601,5,1,0
1000000097,58,121768.317,32933.0,552,30,2,0
1000000098,46,31100.456,85018.0,798,18,4,1
1000000099,32,81147.829,14526.0,334,38,4,0
